From Sched Date: 06/26/23   To Sched Date: 06/27/23   From Truck:      To Truck: zzzzzzzz   Whs-Code: o   Sort By Load: no   SKU Group: Cabinets   Order Status: To Do Finish In Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sched Date,Attribute,Truck,Load,Cust#,Order,Line,Item,QT,DP,MR,DA,FI,FO,NH,RW,PL,XS,XR,LD,D2,WI,WO,SI,SO,AS,QI,QO,OrigOrd#,ProdLine,OrderCode,ShipDate,Deliv-Window,Species,Color,InvHold,ShipEntry,ProgressiveWO,FINLINE,PA FF Cart#,PA FF Slot#,KIT Cab,Job/Designer,MODS,,,,,,,,,,,,,,
6/26/2023,Tall,382210,40,W1218,3137735,10,OCC33102B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/28/2023,07/03/23-07/07/23,MPL,WHITE ICING CLASSIC,no,?,,,,, ,Hoffschnei/109538,D2,MPL,MS,F,WIC,H3,lr,CLSC,OCM,FFETR,AFCM,,,,
6/26/2023,Wall,382210,50,70530,3139866,3,12WN630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3139437,YZ,RP,6/28/2023,07/03/23-07/07/23,MPL,PERFECT STORM CLASSIC,no,?,,,,, ,TARA_STROU/108789,YZ,MPL,23K,F,H3,PFS,CLSC,,,,,,,,
6/26/2023,Wall,382210,40,W1218,3153019,1,21BMW2442B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3119597,D2,RP,6/28/2023,07/03/23-07/07/23,MPL,SEA SALT CLASSIC,no,?,,,,, ,Glasser/109538,D2,MPL,KA,F,SST,H3,LR,BOXO,CLSC,MD19,FIO,OCM,PLYBOX,,
6/27/2023,Wall,382208,30,3667,3136526,1,24W3718B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,D2,MDF,PM,F,WIC,H3,LR,CLSC,FIFB,,,,,,
6/27/2023,Wall,382208,30,3667,3136526,4,W3636B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,LR,CLSC,FFEB,,,,,,,
6/27/2023,Wall,382208,30,3667,3136526,5,W3636B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,FFEL,ESR.75,,,,,,,
6/27/2023,Wall,382208,30,3667,3136526,6,DW2436/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,R,,,,,,,,
6/27/2023,Wall,382208,30,3667,3136526,7,W2736B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,FFER,,,,,,,,
6/27/2023,Wall,382208,30,3667,3136526,8,W2736B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,FFEL,,,,,,,,
6/27/2023,Wall,382208,30,3667,3136526,9,DW2436/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,L,,,,,,,,
